Pair 1,Pair 2
Arthur Wahlberg,Robert Wahlberg
Alec Baldwin,Daniel Baldwin
Alec Baldwin,Stephen Baldwin
Alec Baldwin,William Baldwin
Daniel Baldwin,Stephen Baldwin
Daniel Baldwin,William Baldwin
Stephen Baldwin,William Baldwin
Bette Midler,Sophie von Haselberg
Elle Fanning,Dakota Fanning
Burn Gorman,William Dafoe
Sharlto Copley,Iddo Golberg
Rooney Mara,Kate Mara
Reese Witherspoon,Ava Phillippe
Cindy Crawford,Kaia Gerber
Demi Moore,Rumor Willis
Goldie Hawn,Kate Hudson
Olivia Munn,Nichole Bloom
Paris Berelc,Chrissy Teigen
Arden Cho,Greta Lee
Grace Huang,Constance Wu
Grace Huang,Alisa Allapach
Constance Wu,Alisa Allapach
Willow Smith,Jaden Smith
Augusta Xu-Holland,Emma Appleton
Paris Hilton,Nicky Hilton
Brenda Song,Jeannie Mai
Alexa Davalos,Kristin Kreuk
Gigi Hadid,Gemma Chan
Deborah Cox,Nicole Ari Parker
Rita Ora,Rihanna
Matt Barnes,Christopher Williams
India Love,Karrueche
Jessica White,Eugena Washington
Amber Riley,Raven Goodwin
Angell Conwell,Jennifer Hudson
Allen Leech,Niall Horan
Kevin Alejandro,Jonathan Rhys Meyers
Billie Eilish,Pyper America
Guillermo Zapata,George Clooney
Ruby Rose,Serinda Swan
Alicia Vikander,Margarita Levieva
Luke Youngblood,Donald Glover
Ellen Page,Zoey Deutch
Camila Cabello,Anya Chalotra
Janelle Monae,Rasheeda Frost
Bruce Darnell,Lance Reddick
Eric Stoltz,Michael J Fox
Reid Scott,Ben Feldman
Alicia Vikander,Niv Sultan
Oliver Hudson,Lucas Bravo
Natalia Lafourcade,Lily Allen
Natasha Leggero,Eliza Dushku
Tatiana Maslany,Marguerite Moreau
Tina Majorino,Michael Weston
Vinessa Shaw,Eliza Taylor
James Patrick Stuart,Christian Bale
Stana Katic,Elizabeth Reaser
Serinda Swan,Kirsten Storms
Brad Pitt,Guy Pearce
James Franco,Dave Franco
